"species_clean","order_clean","family_clean","n_records","n_georeferenced","n_locations","year_range","latest_year","n_provinces","countries","in_focal","percent_records","cumulative_percent","note"
"Sorex minutus","Eulipotyphla","Soricidae",3,0,0,"Inf - -Inf",NA,1,"KZ",TRUE,0.04,99,"collection records only, none georeferenced"
"Talpa altaica","Eulipotyphla","Talpidae",3,1,1,"1966 - 2012",2012,2,"KZ",TRUE,0.04,99.1,""
"Allactaga sp.","Rodentia","Dipodidae",2,1,1,"1910 - 1910",1910,2,"KZ, TM",TRUE,0.03,99.1,""
"Alticola roylei","Rodentia","Cricetidae",2,2,2,"1938 - 1960",1960,1,"KZ",TRUE,0.03,99.1,""
"Bramus sp.","Rodentia","Cricetidae",2,0,0,"1985 - 1987",1987,1,"TM",FALSE,0.03,99.2,"collection records only, none georeferenced"
"Eolagurus sp.","Rodentia","Cricetidae",2,0,0,"1968 - 1968",1968,1,"TJ",FALSE,0.03,99.2,"collection records only, none georeferenced"
"Erinaceidae","Eulipotyphla","Erinaceidae",2,1,1,"1973 - 2003",2003,1,"TM, UZ",FALSE,0.03,99.2,""
"Jaculus sp.","Rodentia","Dipodidae",2,2,1,"1968 - 1968",1968,1,"KG",FALSE,0.03,99.2,""
"Lepus capensis","Lagomorpha","Leporidae",2,0,0,"1929 - 1929",1929,1,"KZ",TRUE,0.03,99.3,"collection records only, none georeferenced"
"Meriones zarudnyi","Rodentia","Muridae",2,0,0,"Inf - -Inf",NA,1,"TM",FALSE,0.03,99.3,"collection records only, none georeferenced"
"Myodes glareolus","Rodentia","Cricetidae",2,0,0,"1896 - 1904",1904,1,"KZ",TRUE,0.03,99.3,"collection records only, none georeferenced"
"Myomimus personatus","Rodentia","Gliridae",2,1,1,"1983 - 1983",1983,1,"TM",FALSE,0.03,99.3,""
"Neodon sp.","Rodentia","Cricetidae",2,1,1,"1966 - 2007",2007,2,"KG, TJ",FALSE,0.03,99.4,""
"Niviventer fulvescens","Rodentia","Muridae",2,0,0,"1880 - 1880",1880,1,"KZ",TRUE,0.03,99.4,"collection records only, none georeferenced"
"Ochotona dauurica","Lagomorpha","Ochotonidae",2,1,1,"1967 - 1967",1967,2,"KG",FALSE,0.03,99.4,""
"Rodentia","Rodentia","Unknown",2,1,1,"Inf - -Inf",NA,1,"KZ, TM",TRUE,0.03,99.5,""
"Sicista napaea","Rodentia","Dipodidae",2,1,1,"1915 - 1926",1926,1,"KZ",TRUE,0.03,99.5,""
"Sicista pseudonapaea","Rodentia","Dipodidae",2,0,0,"Inf - -Inf",NA,1,"KZ",TRUE,0.03,99.5,"collection records only, none georeferenced"
"Sorex araneus","Eulipotyphla","Soricidae",2,1,1,"2016 - 2016",2016,2,"KZ",TRUE,0.03,99.5,""
"Spalax uralensis","Rodentia","Spalacidae",2,0,0,"Inf - -Inf",NA,2,"KZ",TRUE,0.03,99.6,"collection records only, none georeferenced"
"Spermophilus citellus","Rodentia","Sciuridae",2,2,2,"2012 - 2012",2012,1,"UZ",FALSE,0.03,99.6,""
"Suncus etruscus","Eulipotyphla","Soricidae",2,2,1,"1981 - 1981",1981,1,"TM",FALSE,0.03,99.6,""
"Apodemus peninsulae","Rodentia","Muridae",1,0,0,"2007 - 2007",2007,1,"KZ",TRUE,0.01,99.6,"collection records only, none georeferenced"
"Arvicolidae","Rodentia","Cricetidae",1,0,0,"1993 - 1993",1993,1,"KG",FALSE,0.01,99.6,"collection records only, none georeferenced"
"BOLD:AAC0496","Rodentia","Dipodidae",1,0,0,"2007 - 2007",2007,1,"KZ",TRUE,0.01,99.7,"collection records only, none georeferenced"
"BOLD:ABZ2166","Rodentia","Unknown",1,1,1,"Inf - -Inf",NA,1,"TJ",FALSE,0.01,99.7,""
"Calomyscus hotsoni","Rodentia","Calomyscidae",1,0,0,"1927 - 1927",1927,1,"TM",FALSE,0.01,99.7,"collection records only, none georeferenced"
"Cardiocranius paradoxus","Rodentia","Dipodidae",1,1,1,"2016 - 2016",2016,1,"KZ",TRUE,0.01,99.7,""
"Cricetus sp.","Rodentia","Cricetidae",1,0,0,"Inf - -Inf",NA,1,"TJ",FALSE,0.01,99.7,"collection records only, none georeferenced"
"Desmana moschata","Eulipotyphla","Talpidae",1,1,1,"1884 - 1884",1884,1,"KG",FALSE,0.01,99.7,""
"Erinaceus europaeus","Eulipotyphla","Erinaceidae",1,0,0,"Inf - -Inf",NA,1,"KZ",TRUE,0.01,99.7,"collection records only, none georeferenced"
"Euchoreutes naso","Rodentia","Dipodidae",1,1,1,"1989 - 1989",1989,1,"TM",FALSE,0.01,99.7,""
"Marmota marmota","Rodentia","Sciuridae",1,1,1,"2022 - 2022",2022,1,"KG",FALSE,0.01,99.8,""
"Marmota sibirica","Rodentia","Sciuridae",1,0,0,"1967 - 1967",1967,1,"TJ",FALSE,0.01,99.8,"collection records only, none georeferenced"
"Meriones persicus","Rodentia","Muridae",1,0,0,"1989 - 1989",1989,1,"TM",FALSE,0.01,99.8,"collection records only, none georeferenced"
"Mesocricetus sp.","Rodentia","Cricetidae",1,0,0,"Inf - -Inf",NA,1,"TJ",FALSE,0.01,99.8,"collection records only, none georeferenced"
"Microtus guentheri","Rodentia","Cricetidae",1,0,0,"Inf - -Inf",NA,1,"KZ",TRUE,0.01,99.8,"collection records only, none georeferenced"
"Microtus oeconomus","Rodentia","Cricetidae",1,0,0,"2007 - 2007",2007,1,"KZ",TRUE,0.01,99.8,"collection records only, none georeferenced"
"Myopus schisticolor","Rodentia","Cricetidae",1,1,1,"1969 - 1969",1969,1,"KZ",TRUE,0.01,99.8,""
"Notiosorex sp.","Eulipotyphla","Soricidae",1,1,1,"2017 - 2017",2017,1,"KG",FALSE,0.01,99.9,""
"Ochotona princeps","Lagomorpha","Ochotonidae",1,0,0,"1961 - 1961",1961,1,"KZ",TRUE,0.01,99.9,"collection records only, none georeferenced"
"Ochotona sp.","Lagomorpha","Ochotonidae",1,0,0,"Inf - -Inf",NA,1,"KG",FALSE,0.01,99.9,"collection records only, none georeferenced"
"Oryctolagus cuniculus","Lagomorpha","Leporidae",1,0,0,"2024 - 2024",2024,1,"UZ",FALSE,0.01,99.9,"collection records only, none georeferenced"
"Prometheomys schaposchnikowi","Rodentia","Cricetidae",1,0,0,"1953 - 1953",1953,1,"KZ",TRUE,0.01,99.9,"collection records only, none georeferenced"
"Rattus rattus","Rodentia","Muridae",1,1,1,"1957 - 1957",1957,1,"KG",FALSE,0.01,99.9,""
"Salpingotus heptneri","Rodentia","Dipodidae",1,0,0,"Inf - -Inf",NA,1,"UZ",FALSE,0.01,99.9,"collection records only, none georeferenced"
"Salpingotus pallidus","Rodentia","Dipodidae",1,0,0,"Inf - -Inf",NA,1,"KZ",TRUE,0.01,99.9,"collection records only, none georeferenced"
"Sciurus sp.","Rodentia","Sciuridae",1,1,1,"2019 - 2019",2019,1,"UZ",FALSE,0.01,100,""
"Selevinia betpakdalaensis","Rodentia","Gliridae",1,0,0,"Inf - -Inf",NA,1,"KZ",TRUE,0.01,100,"collection records only, none georeferenced"
"Spermophilus musicus","Rodentia","Sciuridae",1,0,0,"1972 - 1972",1972,1,"TJ",FALSE,0.01,100,"collection records only, none georeferenced"
"Spermophilus ralli","Rodentia","Sciuridae",1,1,1,"2024 - 2024",2024,1,"KZ",TRUE,0.01,100,""
